Id,Designator,Package,Quantity,Designation,Supplier and ref
1,J2,audio_jack_3_5mm_PJ307,1,LINE OUT,
2,"C43,C23,C33,C51",C_1206_0603,4,27n,
3,"C82,C14,C3,C6,C47,C61,C73,C5,C26,C20",C_1206_0603,10,0u1,
4,"R4,R1,R15,R16",R_1206_0603,4,k75,
5,U8,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,MC33179DR2G,
6,"L13,L12",Resistor_Horizontal_RM10mm,2,472K,
7,C21,C_1206_0603,1,1uF,
8,C71,C_1206_0603,1,1n,
9,"C74,C76,C78,C80,C16,C18,C22,C53",C_1206_0603,8,100n,
10,C77,C_Radial_D5_L11_P2.5,1,100uF,
11,"R17,R36,R24,R33",R_1206_0603,4,20R,
12,"U4,U5",SOT-23-6,2,SN74LVC1G3157,
13,"C19,C30,C41,C48",TantalC_SizeA_EIA-3216_Wave,4,10uF 16v,
14,J1,audio_jack_3_5mm_PJ307,1,LINE IN,
15,"C2,C1",C_1206_0603,2,220,
16,"C31,C32,C29",C_1206_0603,3,1n5,
17,"C58,C66",TantalC_SizeA_EIA-3216_Wave,2,6.8uF,
18,"C59,C64",C_1206_0603,2,10n,
19,"L3,L5",Resistor_Horizontal_RM10mm,2,100uH,
20,"Q1,Q5",SOT-23,2,BC847,
21,"R6,R52,R54,R65,R7,R8,R9,R20",R_1206_0603,8,1k,
22,"R14,R19",R_1206_0603,2,10k,
23,R53,R_1206_0603,1,100k,
24,"U3,U6",TSSOP-16_4.4x5mm_Pitch0.65mm,2,74HC4053,
25,CON1,BARREL_JACK,1,BARREL_JACK,
26,"L2,L1,L4,L10",Resistor_Horizontal_RM10mm,4,47uH,
27,U12,TO-252-2Lead,1,L78M10,
28,C83,C_Radial_D5_L11_P2.5,1,100u,
29,R64,R_1206_0603,1,470,
30,"P3,P4",Pin_Header_Straight_1x02,2,CONN_01X02,
31,P5,Pin_Header_Straight_1x02,1,SoftRock80,
32,C75,C_Radial_D10_L13_P5,1,820uF,
33,"C52,C17,C79,C81,C4,C15",Universal_C_Radial_D5_L11_P2_tantal,6,10uF,
34,C46,Universal_C_Radial_D5_L11_P2_tantal,1,10u,
35,C13,TantalC_SizeA_EIA-3216_Wave,1,10u,
36,C62,TantalC_SizeA_EIA-3216_Wave,1,10uF,
37,"Q2,Q4",SOT-23,2,2N7002,
38,"Q3,Q6",SOT-23,2,MMBT2907,
39,"R46,R43,R47,R48,R40,R42",R_0603_HandSoldering,6,4k75,
40,"C69,C60",C_0603_HandSoldering,2,390p,
41,"C34,C56,C35",C_0603_HandSoldering,3,15n,
42,"R21,R25,R26,R5,R39,R45",R_0603_HandSoldering,6,1k 1%,
43,C10,C_1206_0603,1,100p,
44,"C27,C28",C_0603_HandSoldering,2,680p,
45,L6,Resistor_Horizontal_RM10mm,1,100u,
46,"L7,L8",Resistor_SMD+THTuniversal_0603to2512_RM10_HandSoldering,2,4u7,
47,"L9,L11,L14",Resistor_SMD+THTuniversal_0603to2512_RM10_HandSoldering,3,2u2,
48,P1,Pin_Header_Straight_1x02,1,sintez_out,
49,P2,Pin_Header_Straight_1x02,1,PA_TX,
50,P6,Pin_Header_Straight_1x02,1,ANT/PA,
51,R10,R_1206_0603,1,3k,
52,"R11,R18",R_1206_0603,2,20k,
53,U10,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,CD4093,
54,U11,SOT-223,1,LD1117v33,
55,U7,TSSOP-20_4.4x6.5mm_Pitch0.65mm,1,M74LCX574,
56,U1,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,NE5532,
57,"R2,R3,R29,R31",R_1206_0603,4,22k 1%,
58,C11,C_1206_0603,1,22p,
59,C12,C_1206_0603,1,47p,
60,Y1,Crystal_HC49-U_Vertical,1,28.224/14.318/7.3728Mhz,
61,R12,R_1206_0603,1,470k,
62,C24,C_1206_0603,1,0u47,
63,R13,R_1206_0603,1,1k5,
64,P7,Pin_Header_Straight_1x02,1,BPF,
65,"C7,C8,C9",TantalC_SizeA_EIA-3216_HandSoldering,3,10uF,
66,"P8,P9",Pin_Header_Straight_1x02,2,PTT,
67,C25,TantalC_SizeA_EIA-3216_HandSoldering,1,100u,
68,"P10,P11,P12,P13",MountingHole_3.2mm_M3_ISO7380_Pad,4,CONN_01X01,
69,D1,MiniMELF_Handsoldering,1,LL4148,
70,"U2,U9",SC-70-5,2,SN74LVC1G00DCKR,
